"","Kappa","Kappa.sd","sensitivity","sensitivity.sd","specificity","specificity.sd","AUC","AUC.sd","colony","flight"
"1",1,0,1,0,1,0,1,0,"bnorth","f1f3"
"2",1,0,1,0,1,0,1,0,"bnorth","f3f1"
"3",1,0,1,0,1,0,1,0,"bnorth","f4f1"
"4",1,0,1,0,1,0,1,0,"bnorth","f1f4"
"11",0.921559417566934,0.0780817386104249,1,0,0.857142857142857,0.142857142857143,0.928571428571429,0.0714285714285714,"bnorth","f3f4"
"12",0.855647623201048,0.142624545754008,1,0,0.75,0.25,0.875,0.125,"bnorth","f4f3"
"13",0.932108888160052,0.0478376226888407,1,0,0.875,0.0853912563829966,0.9375,0.0426956281914983,"c","f4f3"
"14",0.921854304635761,0.0550216379684684,1,0,0.857142857142857,0.0970523172123939,0.928571428571429,0.048526158606197,"c","f3f4"
"15",0.951152289919661,0.0344578732211551,1,0,0.909090909090909,0.0627332326674868,0.954545454545455,0.0313666163337434,"c","f1f4"
"16",0.967127203430205,0.0328351842676507,1,0,0.9375,0.0625,0.96875,0.03125,"c","f4f1"
"17",0.976128385155466,0.0238504832888631,1,0,0.954545454545455,0.0454545454545454,0.977272727272727,0.0227272727272727,"c","f1f3"
"18",0.927339901477832,0.0511893118824952,0.998768472906404,0.00123152709359607,0.928571428571429,0.0714285714285714,0.963669950738916,0.0357195936262886,"c","f3f1"
"19",0.883398859321051,0.0320200516612902,0.998895637769188,0.000780686273698913,0.82258064516129,0.0489130589300095,0.910738141465239,0.0244596443399558,"bluffnorth","f1f3"
"110",0.838838664812238,0.0457914787479772,0.998896247240618,0.00078025555046752,0.761904761904762,0.0665171710256741,0.88040050457269,0.0332608735603216,"bluffnorth","f3f1"
"111",0.492115671066824,0.0542080114030657,0.969646799116998,0.00403134352038193,0.785714285714286,0.0640821399224722,0.877680542415642,0.0321044093062878,"bluffnorth","f3f4"
"112",0.510785614715153,0.053275431888236,0.970182219768084,0.00399783644623002,0.795454545454545,0.0615132074247489,0.882818382611315,0.0308214916248832,"bluffnorth","f4f3"
"113",0.582258688160986,0.0515907828484231,0.973495306460519,0.00377562659977343,0.886363636363636,0.0483983327830926,0.929929471412078,0.0242726902732468,"bluffnorth","f4f1"
"114",0.656354350487539,0.0430339516866681,0.972943125345113,0.00381367126298237,0.903225806451613,0.0378541092928044,0.938084465898363,0.0190228657071804,"bluffnorth","f1f4"
"115",0.902348578491966,0.096567661975117,1,0,0.833333333333333,0.166666666666667,0.916666666666667,0.0833333333333333,"bsouth","f1f4"
"116",0.940586972083035,0.0589497137345798,1,0,0.9,0.1,0.95,0.05,"bsouth","f4f1"
"117",0.940586972083035,0.0589497137345798,1,0,0.9,0.1,0.95,0.05,"bsouth","f4f3"
"118",0.793478260869564,0.200735739041667,1,0,0.666666666666667,0.333333333333333,0.833333333333333,0.166666666666667,"bsouth","f3f4"
"119",0.793478260869564,0.200735739041667,1,0,0.666666666666667,0.333333333333333,0.833333333333333,0.166666666666667,"bsouth","f3f1"
"120",0.902348578491966,0.096567661975117,1,0,0.833333333333333,0.166666666666667,0.916666666666667,0.0833333333333333,"bsouth","f1f3"
"25",1,0,1,0,1,0,1,0,"saddle","f1f3"
"26",1,0,1,0,1,0,1,0,"saddle","f3f1"
"121",0.940589945990859,0.059270545652139,1,0,0.888888888888889,0.111111111111111,0.944444444444444,0.0555555555555556,"saddle","f3f4"
"122",0.915497104720778,0.0594696582869073,1,0,0.846153846153846,0.104154338520974,0.923076923076923,0.0520771692604869,"saddle","f4f3"
"123",0.959411681516052,0.0405313139986797,1,0,0.923076923076923,0.0769230769230769,0.961538461538462,0.0384615384615385,"saddle","f4f1"
"30",1,0,1,0,1,0,1,0,"saddle","f1f4"
